,locations,service_center,business_status,address,rating,price_level,review_count
0,AL Birmingham,1,OPERATIONAL,"2403 21st St N, Birmingham, AL 35234, United States",4.7,2,60
1,AL Decatur,,OPERATIONAL,"1101 McEntire Ln NW, Decatur, AL 35601, United States",4.8,2,24
2,AL Dothan,,OPERATIONAL,"2308 N Range St, Dothan, AL 36303, United States",4.8,2,28
3,AL Mobile,1,OPERATIONAL,"5245 Halls Mill Rd, Mobile, AL 36619, United States",4.5,2,48
4,AL Tuscaloosa,,OPERATIONAL,"5947 Old Montgomery Hwy, Tuscaloosa, AL 35405, United States",4.7,2,26
5,AR Conway,1,OPERATIONAL,"255 Tilk Rd, Conway, AR 72032, United States",4.2,,54
6,AR Little Rock,1,OPERATIONAL,"4614 Thibault Rd, Little Rock, AR 72206, United States",4.1,,14
7,AR Springdale,,OPERATIONAL,"1101 Schmieding Ave, Springdale, AR 72764, United States",4.7,2,32
8,AR Texarkana,1,OPERATIONAL,"510 Realtor Ave, Texarkana, AR 71854, United States",4.2,,74
9,AZ Phoenix,,OPERATIONAL,"1801 N Black Canyon Hwy, Phoenix, AZ 85009, United States",4.4,2,145
10,AZ Tucson,,OPERATIONAL,"2851 N Flowing Wells Rd #151, Tucson, AZ 85705, United States",4.5,2,35
11,CA Fresno,,OPERATIONAL,"2495 S Orange Ave, Fresno, CA 93725, United States",4.6,2,11
12,CA Hayward,,OPERATIONAL,"21130 Cabot Blvd, Hayward, CA 94545, United States",4.2,2,33
13,CA Ontario,,OPERATIONAL,"17000 S Main St, Gardena, CA 90248, United States",4.2,2,37
14,CA San Jose,,OPERATIONAL,"1164 Old Bayshore Hwy, San Jose, CA 95112, United States",4.1,2,23
15,CT Danbury,,OPERATIONAL,"5 Christopher Columbus Ave, Danbury, CT 06810, United States",3.6,2,14
16,CT Hartford,,OPERATIONAL,"130 Murphy Rd, Hartford, CT 06114, United States",4.2,2,35
17,CT Milford,,CLOSED_PERMANENTLY,"470 Naugatuck Ave, Milford, CT 06460, United States",4.2,2,14
18,CT Waterbury,,OPERATIONAL,"27A S Commons Rd, Waterbury, CT 06704, United States",4.8,2,26
19,FL Clearwater,,OPERATIONAL,"4931 110th Ave N, Clearwater, FL 33760, United States",4.7,2,61
20,FL Jacksonville,1,OPERATIONAL,"150 Ellis Rd N, Jacksonville, FL 32254, United States",4.5,2,51
21,FL Sarasota,,OPERATIONAL,"2141 Whitfield Park Loop, Sarasota, FL 34243, United States",4.6,2,66
22,FL Tampa,1,OPERATIONAL,"3517 N 40th St, Tampa, FL 33605, United States",4.3,2,165
23,GA Albany,1,OPERATIONAL,"1017 N Main St, Moultrie, GA 31768, United States",4.8,2,13
24,GA Ellenwood,1,OPERATIONAL,"5291 GA-42, Ellenwood, GA 30294, United States",4.2,,59
25,GA Valdosta,1,OPERATIONAL,"2050 Briarwood Rd, Valdosta, GA 31601, United States",4.5,,59
26,ID Idaho Falls,1,OPERATIONAL,"683 E Iona Rd, Idaho Falls, ID 83401, United States",4.3,2,54
27,ID Twin Falls,,OPERATIONAL,"2080 Kimberly Rd, Twin Falls, ID 83301, United States",4.3,2,29
28,IL Kankakee,1,OPERATIONAL,"101 W Issert Dr, Kankakee, IL 60901, United States",4.5,2,37
29,IL Mokena,1,OPERATIONAL,"19622 97th Ave, Mokena, IL 60448, United States",4,2,51
30,IL Peoria,,OPERATIONAL,"2616 SW Jefferson Ave, Peoria, IL 61605, United States",4.5,2,26
31,IL Rockford,1,OPERATIONAL,"4233 11th St, Rockford, IL 61109, United States",4.8,,5
32,IN Clarksville,,OPERATIONAL,"5305 US-31, Clarksville, IN 47129, United States",4.6,,46
33,KS Topeka,,OPERATIONAL,"4812 SW Topeka Blvd, Topeka, KS 66609, United States",4.4,2,28
34,KS Wichita,1,OPERATIONAL,"4501 W Esthner Ave, Wichita, KS 67209, United States",4.2,2,64
35,KY Bowling Green,,OPERATIONAL,"107 Center St, Bowling Green, KY 42101, United States",4,2,28
36,KY Lexington,1,OPERATIONAL,"865 Nandino Blvd, Lexington, KY 40511, United States",4.8,2,40
37,MA Agawam,1,OPERATIONAL,"32 Century St, Agawam, MA 01001, United States",4.5,2,48
38,MA Leominster,,OPERATIONAL,"100 Crawford St, Leominster, MA 01453, United States",4.8,2,33
39,MA Norwell,,OPERATIONAL,"84 Accord Park Dr, Norwell, MA 02061, United States",4.9,2,27
40,MA S. Deerfield,1,OPERATIONAL,"4 Industrial Dr W, South Deerfield, MA 01373, United States",4.7,2,15
41,MA Worcester,,OPERATIONAL,"U.S. 20, 369 SW Cutoff, Worcester, MA 01604, United States",4.4,2,63
42,MD Baltimore,,OPERATIONAL,"1715 Twin Springs Rd Suite 111, Halethorpe, MD 21227, United States",3.9,2,35
43,MD Elkton,,OPERATIONAL,"800 E Pulaski Hwy, Elkton, MD 21921, United States",4.5,2,37
44,MD Frederick,,OPERATIONAL,"900 E Patrick St bldg 4a, Frederick, MD 21701, United States",4.8,2,44
45,MD Hagerstown,,OPERATIONAL,"16803 Notley Rd, Hagerstown, MD 21740, United States",4.8,2,22
46,ME Scarborough,1,OPERATIONAL,"1 Glasgow Rd, Scarborough, ME 04074, United States",4.4,2,19
47,MN Bemidji,1,OPERATIONAL,"2301 Johanneson Ave NW, Bemidji, MN 56601, United States",4.4,2,19
48,MN Brainerd,1,OPERATIONAL,"2006 SE 13th St, Brainerd, MN 56401, United States",4.1,2,12
49,MN Burnsville,1,OPERATIONAL,"12525 Dupont Ave S, Burnsville, MN 55337, United States",3.9,2,36
50,MN Mankato,1,OPERATIONAL,"2626 3rd Ave N, Mankato, MN 56001, United States",4.6,2,32
